Intel Core i7 3770K Power Consumption, Thermal,,,,,,,,,
Intel Core i7 3770K Ivy Bridge under Ubuntu 12.04 LTS with Linux 3.2 kernel checking the power consumption and reported CPU thermal performance for the i7-3770K compared to various Intel Sandy Bridge, AMD Bulldozer, and AMD Llano results under Linux. Testing for a future article. The Linux benchmarking for Ivy Bridge was done with an Intel DX79SI motherboard paired with the i7-3770K with Ubuntu Linux. Hopefully more Intel Ivy Bridge Core i5/i7 samples soon for further analysis. These results are embargoed until 23 April at 9.00 Uhr PST.,,,,,,,,
,,,,,,,,,,
 ,,AMD A8-3870K,AMD FX-8150,Intel Core i3 2120,Intel Core i5 2400S,Intel Core i5 2500K,Intel Core i7 3960X,Intel Core i7 3960X @ 4.20GHz,Intel Core i7 3770K,Intel Core i7 3770K @ 4.30GHz
Processor,,AMD A8-3870 APU @ 3.00GHz (4 Cores),AMD FX-8150 Eight-Core @ 3.60GHz (8 Cores),Intel Core i3-2120 @ 3.30GHz (4 Cores),Intel Core i5-2400S @ 2.50GHz (4 Cores),Intel Core i5-2500K @ 3.30GHz (4 Cores),Intel Core i7-3960X @ 3.20GHz (12 Cores),Intel Core i7-3960X @ 3.20GHz (12 Cores),Intel Core i7-3770K @ 3.50GHz (8 Cores),Intel Core i7-3770K @ 3.50GHz (8 Cores)
Motherboard,,Gigabyte GA-A75M-UD2H,ASUS Crosshair V Formula,Intel DZ77GA,Intel DZ77GA,Intel DZ77GA,Intel DX79SI,Intel DX79SI,Intel DZ77GA,Intel DZ77GA
Chipset,,AMD Family 12h Root Complex,AMD ATI RD890,Intel 2nd Generation Core Family DRAM,Intel 2nd Generation Core Family DRAM,Intel 2nd Generation Core Family DRAM,Intel Sandy DMI2,Intel Sandy DMI2,Intel Ivy DRAM,Intel Ivy DRAM
Memory,,16384MB,16384MB,16384MB,16384MB,16384MB,16384MB,16384MB,16384MB,16384MB
Disk,,240GB OCZ VERTEX3,240GB OCZ VERTEX3,240GB OCZ VERTEX3,240GB OCZ VERTEX3,240GB OCZ VERTEX3,240GB OCZ VERTEX3,240GB OCZ VERTEX3,240GB OCZ VERTEX3,240GB OCZ VERTEX3
Graphics,,AMD Radeon HD 7900 3072MB (900/1375MHz),AMD Radeon HD 7900 3072MB (900/1375MHz),AMD Radeon HD 7900 3072MB (900/1375MHz),AMD Radeon HD 7900 3072MB (900/1375MHz),AMD Radeon HD 7900 3072MB (900/1375MHz),AMD Radeon HD 7900 3072MB (900/1375MHz),AMD Radeon HD 7900 3072MB (900/1375MHz),AMD Radeon HD 7900 3072MB (900/1375MHz),AMD Radeon HD 7900 3072MB (900/1375MHz)
Audio,,Realtek ALC889,Realtek ALC889,Realtek ALC898,Realtek ALC898,Realtek ALC898,Realtek ALC892,Realtek ALC892,Realtek ALC898,Realtek ALC898
Monitor,,DELL P2210H,DELL P2210H,DELL P2210H,DELL P2210H,DELL P2210H,DELL P2210H,DELL P2210H,DELL P2210H,DELL P2210H
Network,,Realtek RTL8111/8168B,Intel 82583V Gigabit Connection,Intel 82579V Gigabit Connection,Intel 82579V Gigabit Connection,Intel 82579V Gigabit Connection,Intel 82579LM Gigabit Connection,Intel 82579LM Gigabit Connection,Intel 82579V Gigabit Connection,Intel 82579V Gigabit Connection
OS,,Ubuntu 12.04,Ubuntu 12.04,Ubuntu 12.04,Ubuntu 12.04,Ubuntu 12.04,Ubuntu 12.04,Ubuntu 12.04,Ubuntu 12.04,Ubuntu 12.04
Kernel,,3.2.0-23-generic (x86_64),3.2.0-23-generic (x86_64),3.2.0-23-generic (x86_64),3.2.0-23-generic (x86_64),3.2.0-23-generic (x86_64),3.2.0-23-generic (x86_64),3.2.0-23-generic (x86_64),3.2.0-23-generic (x86_64),3.2.0-23-generic (x86_64)
Desktop,,Unity 5.8.0,Unity 5.8.0,Unity 5.8.0,Unity 5.8.0,Unity 5.8.0,Unity 5.8.0,Unity 5.8.0,Unity 5.8.0,Unity 5.8.0
Display Server,,X Server 1.11.3,X Server 1.11.3,X Server 1.11.3,X Server 1.11.3,X Server 1.11.3,X Server 1.11.3,X Server 1.11.3,X Server 1.11.3,X Server 1.11.3
Display Driver,,fglrx 8.96.4,fglrx 8.96.4,fglrx 8.96.4,fglrx 8.96.4,fglrx 8.96.4,fglrx 8.96.4,fglrx 8.96.4,fglrx 8.96.4,fglrx 8.96.4
OpenGL,,4.2.11627,4.2.11627,4.2.11627,4.2.11627,4.2.11627,4.2.11627,4.2.11627,4.2.11627,4.2.11627
Compiler,,GCC 4.7.0,GCC 4.7.0,GCC 4.7.0,GCC 4.7.0,GCC 4.7.0,GCC 4.7.0,GCC 4.7.0,GCC 4.7.0,GCC 4.7.0
File-System,,ext4,ext4,ext4,ext4,ext4,ext4,ext4,ext4,ext4
Screen Resolution,,1920x1080,1920x1080,1920x1080,1920x1080,1920x1080,1920x1080,1920x1080,1920x1080,1920x1080
,,,,,,,,,,
 ,,AMD A8-3870K,AMD FX-8150,Intel Core i3 2120,Intel Core i5 2400S,Intel Core i5 2500K,Intel Core i7 3960X,Intel Core i7 3960X @ 4.20GHz,Intel Core i7 3770K,Intel Core i7 3770K @ 4.30GHz
Timed Idle - CPU Temperature Monitor (Celsius),LIB,2.43,17.24,37.68,37.11,37.85,40.89,39.47,38.69,36.25
Timed Idle - System Power Consumption Monitor (Watts),LIB,63.92,93.34,72.53,77.01,76.26,77.64,73.14,77.2,75.35
C-Ray - Total Time (sec),LIB,59.72,27.01,72.81,42.15,37.14,21.11,19.85,32.71,28.27
C-Ray - Total Time (Performance/Watt),HIB,2.34,8.26,1.34,2.88,3.29,9.8,12.51,3.82,4.91
C-Ray - CPU Temperature Monitor (Celsius),LIB,34.16,35.78,58.52,62.21,67.05,66.8,69.56,65.27,76.42
C-Ray - System Power Consumption Monitor (Watts),LIB,139.62,223.07,97.5,121.27,122.34,206.82,248.36,124.89,138.84
7-Zip Compression - Compress Speed Test (MIPS),HIB,9437,17945,9109,11345,12787,29836,31379,21333,23986
7-Zip Compression - Compress Speed Test (MIPS/Watt),HIB,68.81,83.47,92.28,94.73,104.53,144.87,135.9,167.89,161.43
7-Zip Compression - CPU Temperature Monitor (Celsius),LIB,34.96,41.89,57.33,59.5,65.33,67.3,69.45,68.92,79.14
7-Zip Compression - System Power Consumption Monitor (Watts),LIB,137.16,214.98,98.71,119.77,122.33,205.95,230.89,127.06,148.58
Warsow - Resolution: 1920 x 1080 (FPS),HIB,210.63,334.93,278.43,290.77,321,318.73,334.07,347.43,389.07
Warsow - Resolution: 1920 x 1080 (FPS/Watt),HIB,1.23,1.41,1.68,1.63,1.78,1.51,1.53,1.84,2.01
Warsow - CPU Temperature Monitor (Celsius),LIB,24.25,39.48,48.96,51.97,53.78,52.76,56.99,55.5,57.64
Warsow - System Power Consumption Monitor (Watts),LIB,171.87,237.46,165.44,178.69,180.2,211.29,218.8,188.39,193.79
Unigine Heaven - Resolution: 1920 x 1080 (FPS),HIB,71.16,80.5,84.98,85.24,86.31,86.44,85.95,86.34,86.79
Unigine Heaven - Resolution: 1920 x 1080 (FPS/Watt),HIB,0.31,0.25,0.37,0.35,0.36,0.31,0.3,0.36,0.35
Unigine Heaven - CPU Temperature Monitor (Celsius),LIB,28.08,39.39,57.05,58.12,62.74,54.63,57.98,58.42,60.97
Unigine Heaven - System Power Consumption Monitor (Watts),LIB,230.9,316.22,232.53,244.13,242.64,275.41,287.22,241.78,246.31
Timed Linux Kernel Compilation - Time To Compile (sec),LIB,157.67,96.77,192.12,130.22,114.53,,,84.86,75.56
Timed Linux Kernel Compilation - Time To Compile (Performance/Watt),HIB,0.88,2.36,0.54,0.98,1.19,,,1.6,2.02
Timed Linux Kernel Compilation - CPU Temperature Monitor (Celsius),LIB,34.12,41.86,61.9,66.98,74.89,,,72.89,81.51
Timed Linux Kernel Compilation - System Power Consumption Monitor (Watts),LIB,138.2,228.52,104.33,127.77,136.32,,,135.49,152.85
CPU Temperature Monitor - Phoronix Test Suite System Monitoring (Celsius),,27.15,37.36,55.31,56.71,61.63,53.36,56.21,58.62,62.62
System Power Consumption Monitor - Phoronix Test Suite System Monitoring (Watts),,172.49,249.58,155.99,172.86,177.71,225.31,231.77,180.4,197.31
,,,,,,,,,,
C-Ray - Total Time (sec),LIB,59.72,27.01,72.81,42.15,37.14,21.11,19.85,32.71,28.27
C-Ray - System Power Consumption Monitor (Watts),LIB,139.62,223.07,97.5,121.27,122.34,206.82,248.36,124.89,138.84
7-Zip Compression - Compress Speed Test (MIPS),HIB,9437,17945,9109,11345,12787,29836,31379,21333,23986
7-Zip Compression - System Power Consumption Monitor (Watts),LIB,137.16,214.98,98.71,119.77,122.33,205.95,230.89,127.06,148.58
Warsow - Resolution: 1920 x 1080 (FPS),HIB,210.63,334.93,278.43,290.77,321,318.73,334.07,347.43,389.07
Warsow - System Power Consumption Monitor (Watts),LIB,171.87,237.46,165.44,178.69,180.2,211.29,218.8,188.39,193.79
Unigine Heaven - Resolution: 1920 x 1080 (FPS),HIB,71.16,80.5,84.98,85.24,86.31,86.44,85.95,86.34,86.79
Unigine Heaven - System Power Consumption Monitor (Watts),LIB,230.9,316.22,232.53,244.13,242.64,275.41,287.22,241.78,246.31
Timed Linux Kernel Compilation - Time To Compile (sec),LIB,157.67,96.77,192.12,130.22,114.53,,,84.86,75.56
Timed Linux Kernel Compilation - System Power Consumption Monitor (Watts),LIB,138.2,228.52,104.33,127.77,136.32,,,135.49,152.85
System Power Consumption Monitor - Phoronix Test Suite System Monitoring (Watts),,172.49,249.58,155.99,172.86,177.71,225.31,231.77,180.4,197.31
